accession,lat_parsed,lon_parsed,depth_parsed,depth2_parsed,is_transcriptome
ERR3586693,73.3275,-168.8142,35.0,35.0,1
ERR3586694,74.2987,-85.7806,5.0,5.0,1
ERR3586695,72.5128,44.0775,5.0,5.0,1
ERR3586696,72.5432,44.102,40.0,40.0,1
ERR3586697,72.5199,44.0552,10.0,100.0,1
ERR3586698,78.9564,79.4201,5.0,5.0,1
ERR3586699,78.9354,79.0604,35.0,35.0,1
ERR3586700,79.2233,66.3435,5.0,5.0,1
ERR3586701,79.2026,66.4827,199.0,199.0,1
ERR3586702,79.3349,66.2954,10.0,100.0,1
ERR3586703,77.1604,73.2057,5.0,5.0,1
ERR3586704,74.8023,76.1478,5.0,5.0,1
ERR3586705,74.8283,76.2096,30.0,30.0,1
ERR3586706,78.2518,91.8557,5.0,5.0,1
ERR3586709,54.5451,-16.7943,40.0,40.0,1
ERR3586710,67.141,0.2355,5.0,5.0,1
ERR3586711,67.161,0.3964,25.0,25.0,1
ERR3586712,76.1825,1.3918,5.0,5.0,1
ERR3586713,76.1246,1.3648,499.0,499.0,1
ERR3586714,69.1136,-51.5086,5.0,5.0,1
ERR3586715,67.141,0.2355,5.0,5.0,1
ERR3586717,76.1825,1.3918,5.0,5.0,1
ERR3586718,72.5432,44.102,40.0,40.0,1
ERR3586719,78.9354,79.0604,35.0,35.0,1
ERR3586720,79.2233,66.3435,5.0,5.0,1
ERR3586721,77.1604,73.2057,5.0,5.0,1
ERR3586722,74.8023,76.1478,5.0,5.0,1
ERR3586723,74.8283,76.2096,30.0,30.0,1
ERR3586724,78.2518,91.8557,5.0,5.0,1
ERR3586725,78.3555,91.6084,17.0,17.0,1
ERR3586726,77.9028,117.1545,5.0,5.0,1
ERR3586727,77.9668,116.6556,20.0,20.0,1
ERR3586728,71.8895,-154.9101,5.0,5.0,1
ERR3586729,70.9574,-53.5989,5.0,5.0,1
ERR3586730,64.7127,-53.0106,5.0,5.0,1
ERR3586731,54.5305,-16.9377,5.0,5.0,1
ERR3586732,54.5451,-16.7943,40.0,40.0,1
ERR3586733,64.7,-52.996,351.0,351.0,1
ERR3586734,61.5427,-55.9869,5.0,5.0,1
ERR3586735,61.5754,-55.9846,391.0,391.0,1
ERR3586736,73.3275,-168.8142,35.0,35.0,1
ERR3586737,74.2987,-85.7806,5.0,5.0,1
ERR3586738,70.9433,-53.5127,411.0,411.0,1
ERR3586739,79.2026,66.4827,199.0,199.0,1
ERR3586741,78.0391,116.4105,299.0,299.0,1
ERR3586742,71.5955,160.9383,5.0,5.0,1
ERR3586743,71.0704,174.9916,5.0,5.0,1
ERR3586744,73.3833,-168.1333,5.0,5.0,1
ERR3586745,74.3386,-85.6208,36.0,36.0,1
ERR3586746,72.4693,-71.892,5.0,5.0,1
ERR3586747,76.1246,1.3648,499.0,499.0,1
ERR3586748,72.5128,44.0775,5.0,5.0,1
ERR3586749,72.5199,44.0552,10.0,100.0,1
ERR3586750,78.9564,79.4201,5.0,5.0,1
ERR3586751,-1.9002,-84.6265,50.0,50.0,1
ERR3586752,23.36,37.2183,5.0,5.0,1
ERR3586753,23.36,37.2183,5.0,5.0,1
ERR3586754,23.36,37.2183,5.0,5.0,1
ERR3586755,23.36,37.2183,5.0,5.0,1
ERR3586756,-23.1108,-134.9327,5.0,5.0,1
ERR3586757,-23.1108,-134.9327,5.0,5.0,1
ERR3586758,-23.1108,-134.9327,5.0,5.0,1
ERR3586759,-23.1108,-134.9327,5.0,5.0,1
ERR3586760,-6.628,-152.4607,100.0,100.0,1
ERR3586761,-6.628,-152.4607,100.0,100.0,1
ERR3586762,-6.628,-152.4607,100.0,100.0,1
ERR3586763,-6.628,-152.4607,100.0,100.0,1
ERR3586764,6.671,-153.0658,5.0,5.0,1
ERR3586766,6.671,-153.0658,5.0,5.0,1
ERR3586767,6.671,-153.0658,5.0,5.0,1
ERR3586768,25.6168,-88.4532,125.0,125.0,1
ERR3586769,25.6168,-88.4532,125.0,125.0,1
ERR3586770,25.6168,-88.4532,125.0,125.0,1
ERR3586771,25.6168,-88.4532,125.0,125.0,1
ERR3586772,25.6236,-88.45,640.0,640.0,1
ERR3586773,25.6236,-88.45,640.0,640.0,1
ERR3586774,25.6236,-88.45,640.0,640.0,1
ERR3586775,25.6236,-88.45,640.0,640.0,1
ERR3586776,29.851,-79.7064,40.0,40.0,1
ERR3586777,29.851,-79.7064,40.0,40.0,1
ERR3586778,29.851,-79.7064,40.0,40.0,1
ERR3586779,29.851,-79.7064,40.0,40.0,1
ERR3586780,36.1811,-28.9373,80.0,80.0,1
ERR3586781,36.1811,-28.9373,80.0,80.0,1
ERR3586782,36.1811,-28.9373,80.0,80.0,1
ERR3586783,36.1811,-28.9373,80.0,80.0,1
ERR3586785,-16.8084,59.5043,5.0,5.0,1
ERR3586786,-16.8084,59.5043,5.0,5.0,1
ERR3586787,-16.8084,59.5043,5.0,5.0,1
ERR3586788,-16.8084,59.5043,5.0,5.0,1
ERR3586789,-44.5913,-52.1804,35.0,35.0,1
ERR3586790,-44.5913,-52.1804,35.0,35.0,1
ERR3586791,-44.5913,-52.1804,35.0,35.0,1
ERR3586792,-44.5913,-52.1804,35.0,35.0,1
ERR3586793,6.6112,-153.0543,85.0,85.0,1
ERR3586794,6.6112,-153.0543,85.0,85.0,1
ERR3586795,6.6112,-153.0543,85.0,85.0,1
ERR3586797,31.5168,-159.046,115.0,115.0,1
